表块,领域或指标,YOLOv5,YOLOv6,YOLOv7,YOLOv8,YOLOv9,YOLOv10,YOLOv11,最佳版本（同指标）,备注
总体,mAP50,0.7846,0.7674,0.7826,0.7812,0.7913,0.7761,0.7927,YOLOv11,33 数据集汇总；统一 300 epoch / 640 / batch 32
总体,mAP50-95,0.5862,0.5498,0.5699,0.5829,0.5902,0.5782,0.5931,YOLOv11,
总体,mAP_small,0.3722,0.3243,0.3612,0.3735,0.3877,0.3609,0.3855,YOLOv9,小目标
总体,mAP_medium,0.5290,0.4822,0.5269,0.5256,0.5357,0.5289,0.5374,YOLOv11,
总体,mAP_large,0.6487,0.6106,0.6463,0.6481,0.6546,0.6480,0.6559,YOLOv11,
分域-mAP50,Aerial（航拍）,0.6968,0.6687,0.6910,0.6966,0.7065,0.6915,0.7101,YOLOv11,
分域-mAP50,Agricultural（农业）,0.8832,0.8681,0.8749,0.8648,0.8781,0.8752,0.8922,YOLOv11,
分域-mAP50,Autonomous Driving（自动驾驶）,0.7277,0.7169,0.7325,0.7302,0.7361,0.7323,0.7384,YOLOv11,
分域-mAP50,Videogame（游戏）,0.9125,0.9224,0.9382,0.9381,0.9372,0.9369,0.9436,YOLOv11,
分域-mAP50,Industrial（工业）,0.7232,0.7061,0.7239,0.7305,0.7621,0.7207,0.7478,YOLOv9,
分域-mAP50,Medical（医疗）,0.6848,0.6626,0.6862,0.6833,0.7255,0.6624,0.6973,YOLOv9,
分域-mAP50,Microscopic（显微）,0.7295,0.7264,0.7326,0.7122,0.7258,0.7204,0.7384,YOLOv11,
分域-mAP50,Retail（零售）,0.8042,0.7668,0.8040,0.8101,0.7958,0.7886,0.7978,YOLOv8,
分域-mAP50,Security（安检）,0.8682,0.8544,0.8649,0.8701,0.8692,0.8482,0.8662,YOLOv8,
分域-mAP50,Underwater（水下）,0.7978,0.7723,0.7792,0.7884,0.7703,0.7759,0.7922,YOLOv5,
分域-mAP50,Wildlife（野生动物）,0.7732,0.7701,0.7824,0.7687,0.7937,0.7496,0.7959,YOLOv11,
分域-mAP50-95,Aerial（航拍）,0.5175,0.4643,0.4865,0.5039,0.5060,0.5024,0.5104,YOLOv5,同域更严指标；最佳按该行数值
分域-mAP50-95,Agricultural（农业）,0.6637,0.5924,0.6103,0.6505,0.6127,0.6503,0.6562,YOLOv5,
分域-mAP50-95,Autonomous Driving（自动驾驶）,0.5850,0.5541,0.5772,0.5900,0.5976,0.5902,0.5956,YOLOv9,
分域-mAP50-95,Videogame（游戏）,0.8026,0.7716,0.7705,0.8141,0.8091,0.7954,0.8035,YOLOv8,
分域-mAP50-95,Industrial（工业）,0.4737,0.4267,0.4683,0.4602,0.4864,0.4622,0.4876,YOLOv11,
分域-mAP50-95,Medical（医疗）,0.4537,0.4105,0.4603,0.4404,0.4848,0.4333,0.4653,YOLOv9,
分域-mAP50-95,Microscopic（显微）,0.5115,0.5004,0.5131,0.5046,0.5132,0.5055,0.5207,YOLOv11,
分域-mAP50-95,Retail（零售）,0.6333,0.5562,0.6309,0.6377,0.6265,0.6159,0.6305,YOLOv8,
分域-mAP50-95,Security（安检）,0.5790,0.5625,0.5841,0.5849,0.5912,0.5841,0.5909,YOLOv9,
分域-mAP50-95,Underwater（水下）,0.5827,0.5597,0.5698,0.5753,0.5790,0.5738,0.5895,YOLOv11,
分域-mAP50-95,Wildlife（野生动物）,0.6455,0.6494,0.6579,0.6595,0.6744,0.6473,0.6709,YOLOv9,
